company_name,stock_ticker,new_product,product_description
3M,MMM,Solventum,"Solventum Corporation is a newly independent company focused on health care solutions, launched following its spin-off from 3M."
A. O. Smith,AOS,Pureit,Innovative water treatment solutions aimed at improving consumer access to clean and safe drinking water.
Abbott Laboratories,ABT,Lingo ™,"The company's first continuous glucose monitoring system available without a prescription, designed for people interested in improving their overall health and wellness."
AbbVie,ABBV,Elahere,"Elahere is a flagship cancer therapy acquired from ImmunoGen, designed to target specific cancer cells and improve treatment outcomes."
Adobe Inc.,ADBE,"Firefly, Express, Creative Cloud, GenStudio","Innovative tools that enhance creativity through AI, making Adobe's magic accessible to millions of users."
Advanced Micro Devices,AMD,AMD Instinct,"AMD Instinct is a high-performance accelerator designed to enhance computing capabilities, primarily in data center environments, delivering exceptional performance for AI and machine learning applications."
AES Corporation,AES,2.2 GW of long-term contracts for renewables and data center load growth,A strategic initiative involving the signing of long-term contracts to enhance renewable energy generation and support data center operations across US utilities.
Agilent Technologies,A,Ignite Transformation,A market-first strategy aimed at enhancing agility and decision-making speed to better serve customers.
Air Products,APD,New air separation units,"Plans to construct two new air separation units at the Company's Conyers, Georgia, and Reidsville, North Carolina locations to serve local merchant markets."
Airbnb,ABNB,Co-Host Network,"Co-Host Network is an easy way to find the best local co-hosts to help manage your Airbnb, providing personalized support from listing setup to managing bookings and communicating with guests."
Akamai Technologies,AKAM,API Security solution,"A solution designed to enhance security measures for application programming interfaces (APIs), aimed at meeting the growing customer demand."
Albemarle Corporation,ALB,new operating structure,"An integrated functional model designed to increase agility, deliver significant cost savings and maintain long-term competitiveness."
Alexandria Real Estate Equities,ARE,Megacampus ™,"Collaborative ecosystems designed for innovation in life sciences, providing a platform for biotechnology and technology commercialization."
Align Technology,ALGN,Invisalign® System,"The most advanced clear aligner system in the world, designed to improve patient outcomes and practice efficiencies in orthodontics."
Allegion,ALLE,Access Technologies,Access Technologies provides advanced security solutions aimed at enhancing the safety and efficiency of various facilities.
Alliant Energy,LNT,"1,500 megawatts of solar generation investments",A new investment in solar generation that contributes to a balanced generation portfolio with zero-fuel cost and zero-emission capabilities.
Allstate,ALL,National General branded property-liability insurance,"A comprehensive insurance offering designed to provide affordable, simple, and connected protection for personal lines through independent agents."
Alphabet Inc.,GOOGL,Wiz,Wiz delivers an easy-to-use security platform that connects to all major clouds and code environments to help prevent cybersecurity incidents.
